Concurso;Data Sorteio;1º número_Sorteio1;2º número_Sorteio1;3º número_Sorteio1;4º número_Sorteio1;5º número_Sorteio1;6º número_Sorteio1;Arrecadação_Total;Ganhadores_Sena_Sorteio1;Cidade;UF;Rateio_Sena_Sorteio1;Acumulado_Sena_Sorteio1;Valor_Acumulado_Sena_Sorteio1;Ganhadores_Quina_Sorteio1;Rateio_Quina_Sorteio1;Ganhadores_Quadra_Sorteio1;Rateio_Quadra_Sorteio1;Ganhadores_Terno_Sorteio1;Rateio_Terno_Sorteio1;1º número_Sorteio2;2º número_Sorteio2;3º número_Sorteio2;4º número_Sorteio2;5º número_Sorteio2;6º número_Sorteio2;Ganhadores_Sena_Sorteio2;Rateio_Sena_Sorteio2;Ganhadores_Quina_Sorteio2;Rateio_Quina_Sorteio2;Ganhadores_Quadra_Sorteio2;Rateio_Quadra_Sorteio2;Ganhadores_Terno_Sorteio2;Rateio_Terno_Sorteio2;Estimativa_Prêmio;Acumulado Especial de Páscoa
1551;01/10/2016;25;2;48;18;19;30;1.900.49800;0;;;000;SIM;1.125.32777;23;2.50738;849;7763;15762;209;22;20;39;38;2;26;0;000;5;10.38054;645;10218;13806;238;1.300.00000;7.767.75215
1552;04/10/2016;3;10;25;35;23;16;2.132.67200;1;SÃO PAULO;SP;1.319.47233;NÃO;71.18634;20;3.2357400000000003;1014;7293;19757;187;8;6;47;21;37;15;0;000;12;4.853619999999999;806;9176;16590;222;200.00000;7.871.29595
1553;06/10/2016;29;7;30;37;43;22;1.607.98000;0;;;000;SIM;271.23903;12;4.06612;611;9126;12115;230;21;31;32;37;40;24;0;000;8;5.48925;427;13059;9495;293;400.00000;7.949.36534
1554;08/10/2016;26;48;38;11;49;46;1.742.49200;0;;;000;SIM;488.02668;15;3.525;626;9653;12988;232;17;8;9;2;5;3;0;000;29;1.64095;1364;4430;20675;146;700.00000;8.033.96544
1555;11/10/2016;37;35;32;40;19;7;1.901.31200;0;;;000;SIM;661.10973;18;3.2052400000000003;802;8221;14272;230;40;8;4;39;25;26;1;63.46379;8;6.49061;814;8100;14847;222;850.00000;8.126.27642
1556;13/10/2016;45;33;29;50;20;24;1.335.75200;0;;;000;SIM;827.29388;2;20.26636;564;8213;10868;213;45;50;26;11;36;29;0;000;7;5.21135;512;9047;10359;223;1.000.00000;8.191.12880
1557;15/10/2016;25;41;10;4;50;27;1.864.53400;1;BONFIM;RR;997.02890;NÃO;62.23618;41;1.37996;1404;4605;17675;182;6;49;20;39;27;2;0;000;14;3.6371800000000003;698;9263;14523;222;160.00000;8.281.65416
1558;18/10/2016;19;32;40;29;23;45;1.520.66400;0;;;000;SIM;251.42567;10;4.614380000000001;571;9235;11492;229;38;15;32;23;43;26;0;000;17;2.44291;658;8014;11824;223;400.00000;8.355.48425
1559;20/10/2016;16;14;17;40;32;18;1.385.00400;0;;;000;SIM;423.73737;6;7.0045399999999995;424;11328;9485;253;35;11;28;24;5;7;0;000;14;2.70175;808;5944;14257;168;500.00000;8.422.72788
1560;22/10/2016;10;31;14;29;24;43;1.582.03800;0;;;000;SIM;620.56255;11;4.3642;561;9779;11093;247;3;34;18;15;43;9;0;000;20;2.16027;1031;5321;15540;176;750.00000;8.499.53774
1561;25/10/2016;26;3;43;47;37;49;1.667.09800;0;;;000;SIM;827.97025;11;4.59884;902;6409;14658;197;19;23;28;41;38;22;0;000;7;6.50408;533;10846;12418;232;1.000.00000;8.580.47736
1562;27/10/2016;11;2;1;24;30;45;1.658.56200;0;;;000;SIM;1.034.31597;7;7.18975;681;8446;14054;204;11;18;47;15;5;44;0;000;13;3.48426;824;6980;15770;182;1.200.00000;8.661.00255
1563;29/10/2016;47;48;45;34;10;42;1.665.83200;0;;;000;SIM;1.241.56617;6;8.42481;614;9408;13160;219;27;21;49;50;36;9;0;000;13;3.49954;828;6977;14558;198;1.400.00000;8.741.88070
1564;01/11/2016;27;25;10;18;28;5;2.158.15400;0;;;000;SIM;1.510.06735;25;2.61952;1149;6513;20755;180;28;21;23;49;27;20;0;000;13;4.53379;813;9205;16474;227;1.700.00000;8.846.66169
1565;03/11/2016;19;35;39;46;40;11;1.518.06800;0;;;000;SIM;1.698.93387;11;4.18773;562;9367;11623;226;35;6;22;39;2;44;0;000;16;2.59116;701;7510;12133;216;1.900.00000;8.920.36572
